#puntos,weiszfeld_tiempo,weiszfeld_optimo,coordinate_descent_tiempo,coordinate_descent_optimo,gradient_descent_tiempo,gradient_descent_optimo
5000,0.005254983901977539,[49.78237603 49.69989941 49.04905847],0.05992460250854492,[49.78236302 49.69992383 49.04905994],0.031255483627319336,[49.78237632 49.69989917 49.04905806]
10000,0.010604143142700195,[50.24947308 49.82276983 49.88363272],0.13009381294250488,[50.249435   49.82276253 49.88366949],0.05809926986694336,[50.24947271 49.82276981 49.88363262]
20000,0.020847082138061523,[50.01292961 49.93051051 50.01022061],0.17509770393371582,[50.01294544 49.93048608 50.01022756],0.08849740028381348,[50.01292987 49.93050986 50.0102204 ]
50000,0.0613560676574707,[50.00121983 49.96944198 50.23074156],0.587817907333374,[50.00125299 49.96946315 50.23077636],0.1757338047027588,[50.00121975 49.96944198 50.23074202]
100000,0.11788630485534668,[50.13354843 50.00965084 50.17590898],1.1828868389129639,[50.13352263 50.00965015 50.17592887],0.39459657669067383,[50.13354856 50.00965077 50.17590925]
