#puntos,weiszfeld_tiempo,weiszfeld_optimo,coordinate_descent_tiempo,coordinate_descent_optimo,gradient_descent_tiempo,gradient_descent_optimo
5000,0.007416963577270508,[48.61954428 49.46698519],0.03508281707763672,[48.61951724 49.46701093],0.027103900909423828,[48.61954367 49.46698521]
10000,0.01647329330444336,[49.96761747 49.6550679 ],0.06440424919128418,[49.9676227  49.65506421],0.04044222831726074,[49.96761766 49.65506773]
20000,0.023373842239379883,[49.97572184 49.96833598],0.10238885879516602,[49.9757508  49.96834233],0.060022592544555664,[49.97572204 49.96833661]
50000,0.0775613784790039,[49.77409582 50.00864192],0.3602147102355957,[49.77413006 50.0086425 ],0.21492314338684082,[49.77409518 50.00864261]
100000,0.14055943489074707,[50.07619217 50.06931351],0.6553921699523926,[50.07620035 50.06931104],0.4072434902191162,[50.07619152 50.06931387]
