#puntos,weiszfeld_tiempo,weiszfeld_optimo,coordinate_descent_tiempo,coordinate_descent_optimo,gradient_descent_tiempo,gradient_descent_optimo
5000,0.0010154247283935547,[49.74344989 49.931718   49.48658526 50.25915277 49.83536052 49.62575763],0.12792611122131348,[49.74343511 49.93171528 49.48661967 50.25918231 49.83535595 49.62572085],0.029427528381347656,[49.74345    49.93171789 49.48658533 50.25915279 49.83536053 49.62575759]
10000,0.005572319030761719,[50.20322583 49.81221974 50.20333827 50.22614699 49.96990651 50.07427894],0.20619773864746094,[50.20324031 49.81222884 50.20337158 50.22617683 49.96989246 50.07424476],0.062433719635009766,[50.20322625 49.81221975 50.20333869 50.22614716 49.96990658 50.07427931]
20000,0.02253580093383789,[50.13553493 49.89695117 49.78008778 50.01843381 49.62003753 50.0906135 ],0.8093841075897217,[50.13554104 49.89694887 49.78006393 50.01845426 49.62002314 50.09064331],0.2321617603302002,[50.13553501 49.8969513  49.78008753 50.01843395 49.62003702 50.09061336]
50000,0.06042361259460449,[50.10332692 49.8429925  49.80428141 49.98441953 49.88665378 50.17604368],1.6025965213775635,[50.10333051 49.84295739 49.80425612 49.98443363 49.88668314 50.17607349],0.532564640045166,[50.10332705 49.84299269 49.80428177 49.98441956 49.88665414 50.17604357]
100000,0.10306143760681152,[50.05343249 49.94679406 49.8937891  49.89284022 50.01772966 50.13862738],3.2893643379211426,[50.05343504 49.94680884 49.89379923 49.89286323 50.01770641 50.1386418 ],1.0890576839447021,[50.05343271 49.94679365 49.89378862 49.89283994 50.01772965 50.13862756]
