#puntos,weiszfeld_tiempo,weiszfeld_optimo,coordinate_descent_tiempo,coordinate_descent_optimo,gradient_descent_tiempo,gradient_descent_optimo
5000,0.008472442626953125,[49.78237603 49.69989941 49.04905847],0.08173179626464844,[49.78236302 49.69992383 49.04905994],0.044202566146850586,[49.78237632 49.69989917 49.04905806]
10000,0.015376806259155273,[50.24947308 49.82276983 49.88363272],0.1956014633178711,[50.249435   49.82276253 49.88366949],0.08746600151062012,[50.24947271 49.82276981 49.88363262]
20000,0.027821063995361328,[50.01292961 49.93051051 50.01022061],0.25641608238220215,[50.01294544 49.93048608 50.01022756],0.1677405834197998,[50.01292987 49.93050986 50.0102204 ]
50000,0.09786868095397949,[50.00121983 49.96944198 50.23074156],0.8434200286865234,[50.00125299 49.96946315 50.23077636],0.26942944526672363,[50.00121975 49.96944198 50.23074202]
100000,0.19101953506469727,[50.13354843 50.00965084 50.17590898],1.7280864715576172,[50.13352263 50.00965015 50.17592887],0.5435357093811035,[50.13354856 50.00965077 50.17590925]
