#puntos,weiszfeld_tiempo,weiszfeld_optimo,coordinate_descent_tiempo,coordinate_descent_optimo,gradient_descent_tiempo,gradient_descent_optimo
5000,0.011268138885498047,[48.61954428 49.46698519],0.05372214317321777,[48.61951724 49.46701093],0.03891301155090332,[48.61954367 49.46698521]
10000,0.02379465103149414,[49.96761747 49.6550679 ],0.09175896644592285,[49.9676227  49.65506421],0.07338190078735352,[49.96761766 49.65506773]
20000,0.03562617301940918,[49.97572184 49.96833598],0.17180156707763672,[49.9757508  49.96834233],0.10022759437561035,[49.97572204 49.96833661]
50000,0.10107111930847168,[49.77409582 50.00864192],0.3834195137023926,[49.77413006 50.0086425 ],0.3525967597961426,[49.77409518 50.00864261]
100000,0.21146726608276367,[50.07619217 50.06931351],1.098325490951538,[50.07620035 50.06931104],0.6812396049499512,[50.07619152 50.06931387]
