#puntos,weiszfeld_tiempo,weiszfeld_optimo,coordinate_descent_tiempo,coordinate_descent_optimo,gradient_descent_tiempo,gradient_descent_optimo
5000,0.02272963523864746,[55.30373449 38.95745259 47.53292329],0.3310573101043701,[55.3037178  38.95747881 47.53294632],0.06632494926452637,[55.30373579 38.95745093 47.53292177]
10000,0.04278826713562012,[55.9721198  37.72918194 45.94425313],0.5698673725128174,[55.97212696 37.72918217 45.94424677],0.153486967086792,[55.97212036 37.7291802  45.94425181]
20000,0.09667515754699707,[54.46664824 40.00906373 47.47161006],1.0019943714141846,[54.4666427  40.00904009 47.47160451],0.33788490295410156,[54.46664851 40.0090629  47.47160947]
50000,0.26790761947631836,[54.77614929 39.6909896  47.19788403],3.0710179805755615,[54.77612585 39.6910127  47.19789628],0.9389698505401611,[54.77615001 39.6909885  47.19788381]
100000,0.5410070419311523,[55.16675641 39.03910514 46.3784726 ],6.233637571334839,[55.16670406 39.0391653  46.37852611],1.946570634841919,[55.16675718 39.03910396 46.3784722 ]
