#puntos,weiszfeld_tiempo,weiszfeld_optimo,coordinate_descent_tiempo,coordinate_descent_optimo,gradient_descent_tiempo,gradient_descent_optimo
5000,0.020418167114257812,[45.21855186 70.81485439],0.11992406845092773,[45.21854999 70.81484437],0.05177807807922363,[45.21855283 70.81485386]
10000,0.03300070762634277,[44.81944975 70.84966163],0.21448659896850586,[44.81942427 70.84964356],0.07513093948364258,[44.81945056 70.84966111]
20000,0.0696558952331543,[44.5961785  71.09954636],0.2836575508117676,[44.59616792 71.09954496],0.2523000240325928,[44.5961784  71.09954612]
50000,0.1785144805908203,[44.75560858 70.87579497],0.949913740158081,[44.75562045 70.8757998 ],1.0075740814208984,[44.75560921 70.87579366]
100000,0.4141972064971924,[44.69909742 71.09371885],2.052053689956665,[44.6990889 71.0937228],2.4008491039276123,[44.69909857 71.09371871]
