#puntos,weiszfeld_tiempo,weiszfeld_optimo,coordinate_descent_tiempo,coordinate_descent_optimo,gradient_descent_tiempo,gradient_descent_optimo
5000,0.015722990036010742,[44.04404174 60.45973327 47.48755877 40.87995044 28.89626473 37.05792269],0.460925817489624,[44.04401561 60.45970766 47.48753755 40.87991821 28.896293   37.05791742],0.08078241348266602,[44.0440419  60.45973235 47.48755928 40.87995064 28.89626534 37.05792273]
10000,0.03065323829650879,[44.48579683 60.53553416 47.40054063 40.44952414 29.15042874 36.26531342],0.8183865547180176,[44.4857808  60.53552125 47.40053923 40.4495499  29.15039408 36.26533735],0.24975085258483887,[44.48579759 60.53553386 47.40054074 40.44952364 29.15042848 36.2653134 ]
20000,0.10332107543945312,[44.25586664 60.39833813 47.60472913 40.34168469 29.00426333 36.58377263],2.0327646732330322,[44.25583493 60.39836327 47.60472391 40.34170696 29.00427086 36.58377805],0.558513879776001,[44.25586665 60.39833769 47.60472895 40.3416841  29.00426353 36.58377292]
50000,0.21141982078552246,[44.15401324 60.43114216 47.51246164 40.61162127 28.94093981 36.65306736],4.767007112503052,[44.15398295 60.43117843 47.51243575 40.61160867 28.9409643  36.65307543],1.2298612594604492,[44.15401379 60.43114165 47.51246119 40.61162068 28.94094062 36.65306612]
100000,0.44139838218688965,[44.2675331  60.37123885 47.38101107 40.46864557 29.03724584 36.5564913 ],12.441060543060303,[44.26756387 60.37120611 47.38103156 40.46864363 29.03721408 36.55647363],2.463252544403076,[44.26753311 60.37123829 47.38101126 40.46864522 29.03724557 36.55649184]
