#puntos,weiszfeld_tiempo,weiszfeld_optimo,coordinate_descent_tiempo,coordinate_descent_optimo,gradient_descent_tiempo,gradient_descent_optimo
5000,0.0040972232818603516,[50.46555355 49.15439354],0.029438018798828125,[50.46554864 49.15437588],0.011866092681884766,[50.46555378 49.15439313]
10000,0.004480838775634766,[49.91364486 49.47040138],0.03083014488220215,[49.91361385 49.47039694],0.01633930206298828,[49.91364523 49.47040111]
20000,0.005176544189453125,[50.19520996 49.9766119 ],0.049146413803100586,[50.19520493 49.97659052],0.019485950469970703,[50.19521041 49.97661217]
50000,0.01865696907043457,[49.79576749 50.29866209],0.13181233406066895,[49.79573015 50.29862964],0.17896652221679688,[49.79576738 50.29866235]
100000,0.07475566864013672,[50.17490497 50.13700747],0.42514514923095703,[50.17487861 50.13698295],0.6049826145172119,[50.17490572 50.13700815]
