#puntos,weiszfeld_tiempo,weiszfeld_optimo,coordinate_descent_tiempo,coordinate_descent_optimo,gradient_descent_tiempo,gradient_descent_optimo
5000,0.022725582122802734,[15.01474981 37.72294439 29.41048073],0.24762439727783203,[15.01476519 37.7229636  29.41051387],0.04173541069030762,[15.01475031 37.72294536 29.41048168]
10000,0.049881935119628906,[14.99714846 37.77639635 29.21012355],0.32644009590148926,[14.99714111 37.77641122 29.21014227],0.0827488899230957,[14.99714878 37.77639735 29.21012429]
20000,0.0657496452331543,[14.81447348 37.58284302 29.00212044],0.5988471508026123,[14.81451251 37.58289768 29.00217681],0.15264892578125,[14.8144731  37.58284234 29.0021199 ]
50000,0.19716596603393555,[14.96362753 37.97742277 29.23313844],1.6076984405517578,[14.96357187 37.97737258 29.23307358],1.0145647525787354,[14.9636279  37.97742384 29.23313933]
100000,0.3944728374481201,[14.91814893 37.95064271 29.19765938],3.949599504470825,[14.91814054 37.95062691 29.197611  ],1.7509634494781494,[14.91814938 37.9506443  29.19766052]
