#puntos,weiszfeld_tiempo,weiszfeld_optimo,coordinate_descent_tiempo,coordinate_descent_optimo,gradient_descent_tiempo,gradient_descent_optimo
5000,0.019139528274536133,[13.35585735 33.91155068 26.00252773 21.31443674  5.63844222  5.54240901],0.3639039993286133,[13.35587915 33.91154453 26.00256046 21.31446858  5.6384449   5.54240462],0.0387876033782959,[13.35585769 33.91155149 26.00252852 21.31443706  5.6384423   5.54240925]
10000,0.025034427642822266,[13.36370306 33.87854852 26.15128508 21.23061321  5.60744039  5.53057016],0.6779937744140625,[13.36370852 33.87851897 26.15125054 21.23057054  5.60742552  5.53053413],0.07237720489501953,[13.36370334 33.87854924 26.15128564 21.23061367  5.6074405   5.53057029]
20000,0.057724714279174805,[13.39382365 33.8339811  26.05874541 21.24926876  5.57520195  5.65324591],2.0909132957458496,[13.39382277 33.8339863  26.05877699 21.24925482  5.57522524  5.65324152],0.1768205165863037,[13.39382398 33.83398194 26.05874606 21.2492693   5.57520209  5.65324604]
50000,0.17930269241333008,[13.34132015 33.70940845 26.0103656  21.22374377  5.54214549  5.5303819 ],4.465025186538696,[13.34133578 33.70940457 26.0103955  21.22377571  5.54213941  5.5303573 ],0.9647369384765625,[13.34132061 33.70940941 26.01036641 21.22374442  5.54214564  5.53038205]
100000,0.42933130264282227,[13.3469494  33.78540704 26.03087244 21.30435358  5.5528691   5.49157278],11.830396890640259,[13.34698007 33.78542574 26.03085072 21.30436956  5.55289636  5.49154414],2.1183409690856934,[13.34694966 33.78540756 26.03087283 21.30435391  5.55286921  5.49157272]
