#puntos,weiszfeld_tiempo,weiszfeld_optimo,coordinate_descent_tiempo,coordinate_descent_optimo,gradient_descent_tiempo,gradient_descent_optimo
5000,0.025781631469726562,[18.37925531 46.74587032],0.11354470252990723,[18.37926116 46.74589216],0.04088449478149414,[18.37925426 46.74586836]
10000,0.06001091003417969,[18.44981797 46.90019775],0.18805289268493652,[18.4498118  46.90021905],0.10018706321716309,[18.44981837 46.9001991 ]
20000,0.04868268966674805,[18.31667136 46.45791207],0.27736568450927734,[18.31666761 46.45791682],0.16032695770263672,[18.31667261 46.45791451]
50000,0.18985199928283691,[18.26196755 46.27946846],0.925849199295044,[18.26197506 46.27947806],0.7473888397216797,[18.26196679 46.27946627]
100000,0.4250056743621826,[18.31699286 46.3847555 ],1.7659237384796143,[18.31700111 46.38478729],1.7421393394470215,[18.31699205 46.384753  ]
